--- Results for: test1.lang ---
Token: ID         | Lexeme: 'Simple_int' | Line: 9, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 9, Col: 12
Token: INT_LIT    | Lexeme: '42' | Line: 9, Col: 14
Token: SEMI       | Lexeme: ';' | Line: 9, Col: 16
Token: ID         | Lexeme: 'Positive_int' | Line: 10, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 10, Col: 14
Token: INT_LIT    | Lexeme: '+100' | Line: 10, Col: 16
Token: SEMI       | Lexeme: ';' | Line: 10, Col: 20
Token: ID         | Lexeme: 'Negative_int' | Line: 11, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 11, Col: 14
Token: INT_LIT    | Lexeme: '-567' | Line: 11, Col: 16
Token: SEMI       | Lexeme: ';' | Line: 11, Col: 20
Token: ID         | Lexeme: 'Zero' | Line: 12, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 12, Col: 6
Token: INT_LIT    | Lexeme: '0' | Line: 12, Col: 8
Token: SEMI       | Lexeme: ';' | Line: 12, Col: 9
Token: ID         | Lexeme: 'Large_number' | Line: 13, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 13, Col: 14
Token: INT_LIT    | Lexeme: '999999' | Line: 13, Col: 16
Token: SEMI       | Lexeme: ';' | Line: 13, Col: 22
Token: ID         | Lexeme: 'Counter' | Line: 18, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 18, Col: 9
Token: INT_LIT    | Lexeme: '1' | Line: 18, Col: 11
Token: SEMI       | Lexeme: ';' | Line: 18, Col: 12
Token: ID         | Lexeme: 'Total_sum' | Line: 19, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 19, Col: 11
Token: INT_LIT    | Lexeme: '100' | Line: 19, Col: 13
Token: SEMI       | Lexeme: ';' | Line: 19, Col: 16
Token: ID         | Lexeme: 'Variable_name_123' | Line: 20, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 20, Col: 19
Token: INT_LIT    | Lexeme: '50' | Line: 20, Col: 21
Token: SEMI       | Lexeme: ';' | Line: 20, Col: 23
Token: ID         | Lexeme: 'X' | Line: 21, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 21, Col: 3
Token: INT_LIT    | Lexeme: '10' | Line: 21, Col: 5
Token: SEMI       | Lexeme: ';' | Line: 21, Col: 7
Token: ID         | Lexeme: 'Y' | Line: 22, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 22, Col: 3
Token: INT_LIT    | Lexeme: '20' | Line: 22, Col: 5
Token: SEMI       | Lexeme: ';' | Line: 22, Col: 7
Token: ID         | Lexeme: 'Z' | Line: 23, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 23, Col: 3
Token: INT_LIT    | Lexeme: '30' | Line: 23, Col: 5
Token: SEMI       | Lexeme: ';' | Line: 23, Col: 7
Token: ID         | Lexeme: 'Test_var' | Line: 24, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 24, Col: 10
Token: INT_LIT    | Lexeme: '999' | Line: 24, Col: 12
Token: SEMI       | Lexeme: ';' | Line: 24, Col: 15
Token: ID         | Lexeme: 'My_identifier' | Line: 25, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 25, Col: 15
Token: INT_LIT    | Lexeme: '0' | Line: 25, Col: 17
Token: SEMI       | Lexeme: ';' | Line: 25, Col: 18
Token: ID         | Lexeme: 'Pi' | Line: 30, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 30, Col: 4
Token: FLOAT_LIT  | Lexeme: '3.14159' | Line: 30, Col: 6
Token: SEMI       | Lexeme: ';' | Line: 30, Col: 13
Token: ID         | Lexeme: 'Euler' | Line: 31, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 31, Col: 7
Token: FLOAT_LIT  | Lexeme: '2.71828' | Line: 31, Col: 9
Token: SEMI       | Lexeme: ';' | Line: 31, Col: 16
Token: ID         | Lexeme: 'Negative_float' | Line: 32, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 32, Col: 16
Token: FLOAT_LIT  | Lexeme: '-0.5' | Line: 32, Col: 18
Token: SEMI       | Lexeme: ';' | Line: 32, Col: 22
Token: ID         | Lexeme: 'Positive_float' | Line: 33, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 33, Col: 16
Token: FLOAT_LIT  | Lexeme: '+1.618' | Line: 33, Col: 18
Token: SEMI       | Lexeme: ';' | Line: 33, Col: 24
Token: ID         | Lexeme: 'Small_decimal' | Line: 34, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 34, Col: 15
Token: FLOAT_LIT  | Lexeme: '0.001' | Line: 34, Col: 17
Token: SEMI       | Lexeme: ';' | Line: 34, Col: 22
Token: ID         | Lexeme: 'Speed_of_light' | Line: 37, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 37, Col: 16
Token: FLOAT_LIT  | Lexeme: '3.0e8' | Line: 37, Col: 18
Token: SEMI       | Lexeme: ';' | Line: 37, Col: 23
Token: ID         | Lexeme: 'Avogadro' | Line: 38, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 38, Col: 10
Token: FLOAT_LIT  | Lexeme: '6.022e23' | Line: 38, Col: 12
Token: SEMI       | Lexeme: ';' | Line: 38, Col: 20
Token: ID         | Lexeme: 'Planck_constant' | Line: 39, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 39, Col: 17
Token: FLOAT_LIT  | Lexeme: '6.626e-34' | Line: 39, Col: 19
Token: SEMI       | Lexeme: ';' | Line: 39, Col: 28
Token: ID         | Lexeme: 'Large_num' | Line: 40, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 40, Col: 11
Token: FLOAT_LIT  | Lexeme: '1.5E10' | Line: 40, Col: 13
Token: SEMI       | Lexeme: ';' | Line: 40, Col: 19
Token: ID         | Lexeme: 'Tiny_num' | Line: 41, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 41, Col: 10
Token: FLOAT_LIT  | Lexeme: '2.5E-20' | Line: 41, Col: 12
Token: SEMI       | Lexeme: ';' | Line: 41, Col: 19
Token: ID         | Lexeme: 'Is_active' | Line: 46, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 46, Col: 11
Token: ID         | Lexeme: 'T' | Line: 46, Col: 13
Token: ID         | Lexeme: 'R' | Line: 46, Col: 14
Token: ID         | Lexeme: 'U' | Line: 46, Col: 15
Token: ID         | Lexeme: 'E' | Line: 46, Col: 16
Token: SEMI       | Lexeme: ';' | Line: 46, Col: 17
Token: ID         | Lexeme: 'Is_done' | Line: 47, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 47, Col: 9
Token: ID         | Lexeme: 'F' | Line: 47, Col: 11
Token: ID         | Lexeme: 'A' | Line: 47, Col: 12
Token: ID         | Lexeme: 'L' | Line: 47, Col: 13
Token: ID         | Lexeme: 'S' | Line: 47, Col: 14
Token: ID         | Lexeme: 'E' | Line: 47, Col: 15
Token: SEMI       | Lexeme: ';' | Line: 47, Col: 16
Token: ID         | Lexeme: 'Flag' | Line: 48, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 48, Col: 6
Token: ID         | Lexeme: 'T' | Line: 48, Col: 8
Token: ID         | Lexeme: 'R' | Line: 48, Col: 9
Token: ID         | Lexeme: 'U' | Line: 48, Col: 10
Token: ID         | Lexeme: 'E' | Line: 48, Col: 11
Token: SEMI       | Lexeme: ';' | Line: 48, Col: 12
Token: ID         | Lexeme: 'Status' | Line: 49, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 49, Col: 8
Token: ID         | Lexeme: 'F' | Line: 49, Col: 10
Token: ID         | Lexeme: 'A' | Line: 49, Col: 11
Token: ID         | Lexeme: 'L' | Line: 49, Col: 12
Token: ID         | Lexeme: 'S' | Line: 49, Col: 13
Token: ID         | Lexeme: 'E' | Line: 49, Col: 14
Token: SEMI       | Lexeme: ';' | Line: 49, Col: 15
Token: ID         | Lexeme: 'Result1' | Line: 54, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 54, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 54, Col: 11
Token: ID         | Lexeme: 'X' | Line: 54, Col: 12
Token: EQ         | Lexeme: '==' | Line: 54, Col: 14
Token: ID         | Lexeme: 'Y' | Line: 54, Col: 17
Token: RPAREN     | Lexeme: ')' | Line: 54, Col: 18
Token: SEMI       | Lexeme: ';' | Line: 54, Col: 19
Token: ID         | Lexeme: 'Result2' | Line: 55, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 55, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 55, Col: 11
Token: ID         | Lexeme: 'A' | Line: 55, Col: 12
Token: NEQ        | Lexeme: '!=' | Line: 55, Col: 14
Token: ID         | Lexeme: 'B' | Line: 55, Col: 17
Token: RPAREN     | Lexeme: ')' | Line: 55, Col: 18
Token: SEMI       | Lexeme: ';' | Line: 55, Col: 19
Token: ID         | Lexeme: 'Result3' | Line: 56, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 56, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 56, Col: 11
Token: ID         | Lexeme: 'M' | Line: 56, Col: 12
Token: LT         | Lexeme: '<' | Line: 56, Col: 14
Token: ID         | Lexeme: 'N' | Line: 56, Col: 16
Token: RPAREN     | Lexeme: ')' | Line: 56, Col: 17
Token: SEMI       | Lexeme: ';' | Line: 56, Col: 18
Token: ID         | Lexeme: 'Result4' | Line: 57, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 57, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 57, Col: 11
Token: ID         | Lexeme: 'P' | Line: 57, Col: 12
Token: LTE        | Lexeme: '<=' | Line: 57, Col: 14
Token: ID         | Lexeme: 'Q' | Line: 57, Col: 17
Token: RPAREN     | Lexeme: ')' | Line: 57, Col: 18
Token: SEMI       | Lexeme: ';' | Line: 57, Col: 19
Token: ID         | Lexeme: 'Result5' | Line: 58, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 58, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 58, Col: 11
Token: ID         | Lexeme: 'R' | Line: 58, Col: 12
Token: GT         | Lexeme: '>' | Line: 58, Col: 14
Token: ID         | Lexeme: 'S' | Line: 58, Col: 16
Token: RPAREN     | Lexeme: ')' | Line: 58, Col: 17
Token: SEMI       | Lexeme: ';' | Line: 58, Col: 18
Token: ID         | Lexeme: 'Result6' | Line: 59, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 59, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 59, Col: 11
Token: ID         | Lexeme: 'T' | Line: 59, Col: 12
Token: GTE        | Lexeme: '>=' | Line: 59, Col: 14
Token: ID         | Lexeme: 'U' | Line: 59, Col: 17
Token: RPAREN     | Lexeme: ')' | Line: 59, Col: 18
Token: SEMI       | Lexeme: ';' | Line: 59, Col: 19
Token: ID         | Lexeme: 'Sum' | Line: 64, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 64, Col: 5
Token: ID         | Lexeme: 'A' | Line: 64, Col: 7
Token: PLUS       | Lexeme: '+' | Line: 64, Col: 9
Token: ID         | Lexeme: 'B' | Line: 64, Col: 11
Token: SEMI       | Lexeme: ';' | Line: 64, Col: 12
Token: ID         | Lexeme: 'Difference' | Line: 65, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 65, Col: 12
